Zipcode,Address,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Lat,Lng,Bank Count
27043,"Pinnacle, NC 27043, USA",6225,46.0,48410.0,24449,15.96787149,36.3334581,-80.4326521,7
60433,"Joliet, IL 60433, USA",17220,35.4,43644.0,18967,18.63530778,41.4997384,-88.0460894,34
60137,"Glen Ellyn, IL 60137, USA",38384,41.1,89386.0,47759,5.460608587,41.853696,-88.0607565,143
40060,"Raywick, KY 40060, USA",1115,44.2,40813.0,18390,14.08071749,37.5302785,-85.45818589999999,0
50201,"Nevada, IA 50201, USA",8139,40.4,56619.0,28908,7.777368227,42.065743,-93.4599326,7
38504,"Allardt, TN 38504, USA",1167,38.6,46786.0,19634,9.340188518,36.3966879,-84.7420032,0
76135,"Fort Worth, TX 76135, USA",20550,39.8,52945.0,27715,13.94160584,32.8447037,-97.47059349999999,12
3276,"Tilton, NH 03276, USA",8394,41.9,58449.0,25690,13.17607815,32.2819566,-93.785344,2
83313,"Bellevue, ID 83313, USA",3609,35.4,45168.0,23296,20.0055417,43.3662171,-114.2796699,0
53018,"Delafield, WI 53018, USA",8120,43.3,94873.0,42783,3.1773399010000003,43.0373723,-88.3919026,28
30268,"Palmetto, GA 30268, USA",9736,32.7,47421.0,22939,12.48972884,33.5272883,-84.7106567,1
20143,"Catharpin, VA 20143, USA",1081,42.8,139938.0,51051,2.405180389,38.8568373,-77.5676735,21
14113,"North Java, NY 14113, USA",630,45.6,47500.0,33149,10.31746032,42.6839855,-78.3273245,0
5261,"Pownal, VT 05261, USA",2835,45.0,56667.0,25144,10.26455026,35.7259928,-93.54988879999999,0
38229,"Gleason, TN 38229, USA",2948,43.5,36800.0,19886,17.33378562,36.2334,-88.6144839,2
41835,"McRoberts, KY 41835, USA",967,50.9,43690.0,19524,29.47259566,37.2144212,-82.66454689999999,5
27298,"Liberty, NC 27298, USA",8969,45.4,43097.0,23966,11.91883153,35.874799,-79.582819,4
23055,"Fork Union, VA 23055, USA",936,48.0,59648.0,21737,1.388888889,37.7788311,-78.2362225,1
757,"Santa Isabel, 00757, Puerto Rico",23231,34.3,18033.0,9412,48.99487753,30.5177349,-92.48883029999999,8
14807,"Arkport, NY 14807, USA",3088,48.0,45821.0,23042,6.994818652999999,42.4169882,-77.7223162,4
54979,"Van Dyne, WI 54979, USA",1400,42.9,65313.0,26566,1.714285714,43.867169,-88.50817649999999,3
97022,"Eagle Creek, OR 97022, USA",3208,43.9,66927.0,24343,10.28678304,45.3551259,-122.3293482,8
8540,"Princeton, NJ 08540, USA",47316,37.5,125439.0,61810,4.161383042,39.85177849999999,-106.8455943,0
25427,"Hedgesville, WV 25427, USA",12630,42.9,54619.0,27919,10.72842439,39.5113324,-78.0880129,0
8340,"Milmay, NJ 08340, USA",716,42.0,100250.0,39030,5.167597765,36.213002,-93.8660913,0
16665,"Newry, PA 16665, USA",291,43.3,27188.0,19095,19.24398625,40.3922417,-78.4346936,23
65243,"Clark, MO 65243, USA",3176,29.3,55885.0,16802,25.15743073,39.2809755,-92.3427191,1
66052,"Linwood, KS 66052, USA",2021,42.8,57848.0,27076,6.82830282,39.0141289,-95.0494602,0
92543,"Hemet, CA 92543, USA",34406,36.5,26909.0,14425,30.7795152,33.6991526,-116.9793554,26
54458,"Nelsonville, WI 54458, USA",150,36.5,56389.0,20718,17.33333333,44.4960026,-89.30994369999999,4
63935,"Doniphan, MO 63935, USA",9863,42.5,31208.0,16144,27.92253878,36.6488463,-90.9438468,0
79416,"Lubbock, TX 79416, USA",32772,26.2,45937.0,23645,19.80349078,33.60361779999999,-101.9690458,44
44147,"Broadview Heights, OH 44147, USA",19331,42.1,76021.0,37217,6.533547152000001,41.33031,-81.68020539999999,62
730,"Ponce, 00730, Puerto Rico",37931,37.0,16259.0,9768,50.79486436,45.9145209,-119.279444,5
3104,"Manchester, NH 03104, USA",33145,37.6,60468.0,32130,11.0423895,36.7531922,-85.39761360000001,3
6377,"Sterling, CT 06377, USA",2787,38.5,71509.0,28464,7.786149982,46.9614316,8.5753299,17
72347,"Hickory Ridge, AR 72347, USA",689,45.3,31471.0,19479,15.38461538,35.364439,-91.0011902,1
