State,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate
01,Alabama,4799277,38.1,43253,23680,870631,18.140878303127742,5.040967629082464
02,Alaska,720316,33.6,70760,32651,69514,9.650486730823694,4.572854136240205
04,Arizona,6479703,36.3,49774,25358,1131901,17.46840866008828,4.882322538548449
05,Arkansas,2933369,37.5,40768,22170,547328,18.658682218295755,4.132961110586496
06,California,37659181,35.4,61094,29527,5885417,15.628106729139967,5.75866214403335
08,Colorado,5119329,36.1,58433,31109,660874,12.909387148198524,4.526784662599336
09,Connecticut,3583561,40.2,69461,37892,354348,9.888153152688066,5.321773509645852
10,Delaware,908446,38.9,59878,29819,103633,11.40772263843971,4.535987829766436
11,District of Columbia,619371,33.8,65830,45290,109200,17.630789946574833,6.295741970482958
12,Florida,19091156,41,46956,26236,3052807,15.990686996638653,5.741024797031673
13,Georgia,9810417,35.6,49179,25182,1736680,17.702407553114206,5.5533011491764315
15,Hawaii,1376298,38.3,67402,29305,149531,10.864725517293493,3.5419654755002186
16,Idaho,1583364,34.9,46767,22568,240298,15.176421846145296,4.243433600864994
17,Illinois,12848554,36.8,56797,29666,1772333,13.79402693875124,5.452878199367804
18,Indiana,6514861,37.1,48248,24635,969881,14.887209412449476,4.842405693690164
19,Iowa,3062553,38.1,51843,27027,367414,11.996984215456843,3.0991463657935063
20,Kansas,2868107,36,51332,26929,382820,13.34747971397162,3.637974454927937
21,Kentucky,4361333,38.2,43036,23462,796202,18.255932303265997,4.631313408079594
22,Louisiana,4567968,36,44874,24442,846780,18.53734527036967,4.206815809567843
23,Maine,1328320,43.2,48453,26824,175624,13.221512888460612,4.055197542760781
24,Maryland,5834299,38,73538,36354,558329,9.569770078633269,4.466123522294623
25,Massachusetts,6605058,39.2,66866,35763,725351,10.981750652303129,4.88610395245583
26,Michigan,9886095,39.1,48411,25681,1625982,16.44716139183368,6.235717945255432
27,Minnesota,5347740,37.6,59836,30913,598391,11.189605328606103,3.9421325644103864
28,Mississippi,2976872,36.2,39031,20618,653321,21.946560013329428,5.010225498442661
29,Missouri,6007182,38,47380,25649,900929,14.997531288381142,4.455400219270866
30,Montana,998554,39.9,46230,25373,148528,14.874308249729108,3.775659603787076
31,Nebraska,1841625,36.3,51672,26899,228789,12.423213194868662,3.1236000814498066
32,Nevada,2730066,36.6,52800,26589,403314,14.773049442760724,6.415302780225826
33,New Hampshire,1319171,41.5,64916,33134,110859,8.403686860914924,3.916853842299444
34,New Jersey,8832406,39.1,71629,36027,900583,10.196349669614373,5.345021503766924
35,New Mexico,2069706,36.7,44927,23763,413801,19.99322609104868,4.547070936645108
36,New York,19487053,38.1,58003,32382,2903982,14.902109621193107,4.729329776031296
37,North Carolina,9651380,37.6,46334,25284,1643389,17.027502802708007,5.464814358153964
38,North Dakota,689781,36.4,53741,29732,79433,11.515683963460866,1.8291312749988764
39,Ohio,11549590,39,48308,26046,1773853,15.358579828374861,5.047391292677922
40,Oklahoma,3785742,36.2,45339,24208,618683,16.34245017225157,3.3769337688622203
41,Oregon,3868721,38.7,50229,26809,614778,15.890988262012174,5.717419271123454
42,Pennsylvania,12731381,40.3,52548,28502,1638820,12.872287774594131,4.567713431873573
44,Rhode Island,1051695,39.6,56361,30469,137244,13.04979105158815,5.336623260546071
45,South Carolina,4679602,38.1,44779,23943,820308,17.529439469424965,5.522777364399793
46,South Dakota,825198,36.9,49495,25740,112086,13.582921916921757,2.6963225795506047
47,Tennessee,6402387,38.2,44298,24409,1101732,17.208144399893353,4.94631143040869
48,Texas,25639373,33.8,51900,26019,4416829,17.226743415293345,3.978771243742973
49,Utah,2813673,29.6,58821,23873,350205,12.446542295426655,3.6055717917469443
50,Vermont,625904,42,54267,29167,70873,11.323301976021883,3.761918760704517
51,Virginia,8100653,37.5,63907,33493,887595,10.957079632962923,3.7420316609043742
53,Washington,6819579,37.3,59478,30742,893211,13.09774401029741,4.79729027261067
54,West Virginia,1853619,41.5,41043,22966,321546,17.346930518083813,3.741383747145449
55,Wisconsin,5706871,38.7,52413,27523,723730,12.68173049644893,4.196064708664345
56,Wyoming,570134,36.8,57406,28902,63743,11.18035409219587,2.9396597992752582
72,Puerto Rico,3682966,37.5,19624,11068,1644128,44.641411297307656,6.728924459253765
