City_ID,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
0,sao felix do xingu,br,,,,,,
1,dikson,ru,7.1,73.51,80.55,100,64,20.49
2,taolanaro,mg,,,,,,
3,itaituba,br,71.9,-4.26,-55.99,100,32,1.14
4,rikitea,pf,79.46,-23.12,-134.97,100,76,17.25
5,krasnoselkup,ru,,,,,,
6,norman wells,ca,,,,,,
7,eskasem,af,,,,,,
8,dondo,mz,75.2,-19.62,34.74,88,20,13
9,esna,eg,47.33,45.2,27.57,76,56,6.85
10,nizhniy kuranakh,ru,,,,,,
11,butaritari,ki,81.89,3.07,172.79,100,24,6.96
12,brae,gb,42.8,60.4,-1.35,100,92,17.22
13,saint-philippe,re,30.15,45.36,-73.48,83,90,8.05
14,maglaj,ba,55.4,44.55,18.1,93,20,3.36
15,souillac,mu,49.01,45.6,-0.6,93,0,3.36
16,selaphum,th,86,16.03,103.94,58,20,10.29
17,airai,pw,82.16,-8.93,125.41,69,44,2.04
18,port alfred,za,,,,,,
19,souillac,mu,49.01,45.6,-0.6,93,0,3.36
20,lata,sb,55.7,30.78,78.62,66,88,1.92
21,cabo san lucas,mx,,,,,,
22,ushuaia,ar,46.4,-54.81,-68.31,65,0,3.36
23,arraial do cabo,br,,,,,,
24,ushuaia,ar,46.4,-54.81,-68.31,65,0,3.36
25,bethel,us,37.4,60.79,-161.76,100,90,3.36
26,naryan-mar,ru,10.52,67.67,53.09,80,0,13.44
27,dhekiajuli,in,68.57,26.71,92.48,70,0,2.59
28,high level,ca,,,,,,
29,port blair,in,,,,,,
30,darnah,ly,73.16,32.77,22.64,73,92,13.67
31,torbay,ca,28.4,47.66,-52.73,74,75,23.04
32,saskylakh,ru,16.46,71.97,114.09,86,0,8.63
33,natal,br,75.2,-5.81,-35.21,100,75,3.36
34,kodinar,in,83.33,20.79,70.7,49,0,4.5
35,fayetteville,us,33.8,36.06,-94.16,64,1,6.93
36,inta,ru,15.2,66.04,60.13,70,68,6.51
37,buritis,br,68.48,-15.62,-46.42,88,44,5.5
38,hay river,ca,,,,,,
39,punta arenas,cl,,,,,,
40,bluff,nz,88.46,-23.58,149.07,51,8,4.61
41,bredasdorp,za,66.2,-34.53,20.04,82,0,10.29
42,tessalit,ml,57.14,20.2,1.01,19,0,8.97
43,rikitea,pf,79.46,-23.12,-134.97,100,76,17.25
44,barbar,sd,,,,,,
45,solnechnyy,ru,50.93,50.72,136.64,51,0,3.6
46,kerki,tm,,,,,,
