Screen Name,Real Name,Tweets,Followers,Following,Favorites Count
katyperry,KATY PERRY,8732,106275606,204,5817
justinbieber,Justin Bieber,30646,103282490,315554,3449
BarackObama,Barack Obama,15479,96788050,626662,10
Taylorswift13,Taylor Swift,60,85610911,0,102
rihanna,Rihanna,10033,82168622,1132,1023
youtube,YouTube,21113,70410181,1029,1674
theellenshow,Ellen DeGeneres,15295,75362454,35986,575
ladygaga,Lady Gaga,8585,73512262,128608,1684
twitter,Twitter,6263,62113901,170,5207
jtimberlake,Justin Timberlake,3690,63516045,254,48
britneyspears,Britney Spears,5322,55987030,389451,2461
cristiano,Cristiano Ronaldo,3041,63656076,96,0
kimkardashian,Kim Kardashian West,24872,56980484,127,1
selenagomez,Selena Gomez,4331,54481920,1263,167
cnnbrk,CNN Breaking News,58788,53426813,120,18
jimmyfallon,jimmy fallon,10217,49681884,7753,49
arianagrande,Ariana Grande,40414,55199366,65195,32625
shakira,Shakira,5232,49159516,209,1232
ddlovato,Demi Lovato,16463,51552835,548,1892
jlo,Jennifer Lopez,12305,44031314,1734,6586
instagram,Instagram,11268,39447263,4,152
oprah,Oprah Winfrey,12327,39844223,288,149
drake,Drizzy,1712,36424051,635,11
kingjames,LeBron James,5552,39513633,176,82
nytimes,The New York Times,298906,40140267,886,15790
billgates,Bill Gates,2510,40908701,184,27
cnn,CNN,157243,38399414,1115,1478
kevinhart4real,Kevin Hart,34748,34981992,555,83
mileycyrus,Miley Ray Cyrus,8998,37641115,376,200
onedirection,One Direction,9908,31790580,3920,303
sportscenter,SportsCenter,99878,35097990,1661,1158
espn,ESPN,92456,33756618,285,95
bbcbreaking,BBC Breaking News,33418,35811959,0,0
harry_styles,Harry Styles.,5395,31332687,2046,76
pink,P!nk,6736,31109253,447,405
liltunechi,Lil Wayne WEEZY F,1738,32062863,48,13
wizkhalifa,Wiz Khalifa,43664,32500929,835,51
niallofficial,Niall Horan,12296,36109678,5974,360
brunomars,Bruno Mars,4062,37258157,109,177
adele,Adele,298,28825362,157,0
narendramodi,Narendra Modi,17237,36666428,1854,0
neymarjr,Neymar Jr,41082,34931292,747,808
kanyewest,,,,,
kaka,Kaka,4787,28804657,354,75
actuallynph,Neil Patrick Harris,2778,27607735,113,176
realdonaldtrump,Donald J. Trump,36370,42599010,45,23
danieltosh,daniel tosh,13618,27518207,131,2
srbachchan,Amitabh Bachchan,59759,31053441,1156,60
aliciakeys,Alicia Keys,7284,29383302,689,219
nba,NBA,177415,26833244,1671,246
