,Screen Name,Real Name,Tweets,Followers,Following,Favorites Count
0,katyperry,KATY PERRY,8943,108879274,208,6090
1,justinbieber,Justin Bieber,30619,105635971,315988,3445
2,BarackObama,Barack Obama,15503,100919235,624112,11
3,Taylorswift13,Taylor Swift,88,85575210,0,433
4,rihanna,Rihanna,10074,86586196,1118,1024
5,youtube,YouTube,22129,71307989,1034,2055
6,theellenshow,Ellen DeGeneres,16317,77204382,35902,859
7,ladygaga,Lady Gaga,8704,77597281,127840,1885
8,twitter,Twitter,6647,62529875,145,5545
9,jtimberlake,Justin Timberlake,3873,65448074,262,90
10,britneyspears,Britney Spears,5413,57227292,387789,2561
11,cristiano,Cristiano Ronaldo,3138,70831816,95,0
12,kimkardashian,Kim Kardashian West,26201,59213522,134,13
13,selenagomez,Selena Gomez,4339,56148760,1251,167
14,cnnbrk,CNN Breaking News,60471,54417931,121,18
15,jimmyfallon,jimmy fallon,10530,50692423,7819,78
16,arianagrande,Ariana Grande,40409,56881609,64590,32490
17,shakira,Shakira,5323,51391085,208,1239
18,ddlovato,Demi Lovato,16775,55539324,545,2017
19,jlo,Jennifer Lopez,12418,45089141,1723,6598
20,instagram,Instagram,11579,39115952,4,163
21,oprah,Oprah Winfrey,12413,42055426,289,150
22,drake,Drizzy,1703,36878838,633,11
23,kingjames,LeBron James,5779,41009398,182,115
24,nytimes,The New York Times,313251,41439353,879,16477
25,billgates,Bill Gates,2616,44848158,183,40
26,cnn,CNN,174697,39757312,1115,1465
27,kevinhart4real,Kevin Hart,35986,35109820,554,85
28,mileycyrus,Miley Ray Cyrus,9364,40045706,393,280
29,onedirection,One Direction,9896,31793380,3883,298
30,sportscenter,SportsCenter,102508,35579440,1661,1159
31,espn,ESPN,95050,34039582,283,107
32,bbcbreaking,BBC Breaking News,34090,37386487,3,0
33,harry_styles,Harry Styles.,5413,31893008,2040,80
34,pink,P!nk,6868,32836110,448,429
35,liltunechi,Lil Wayne WEEZY F,1831,33791680,48,13
36,wizkhalifa,Wiz Khalifa,43844,33296695,832,54
37,niallofficial,Niall Horan,12533,39409554,5976,396
38,brunomars,Bruno Mars,4234,41677388,108,243
39,adele,Adele,302,28995460,0,0
40,narendramodi,Narendra Modi,18557,41124517,1932,0
41,neymarjr,Neymar Jr,41161,38660957,746,809
42,kanyewest,,,,,
43,kaka,Kaka,4932,30138614,355,96
44,actuallynph,Neil Patrick Harris,2853,27622898,126,187
45,realdonaldtrump,Donald J. Trump,37143,49150211,45,24
46,danieltosh,daniel tosh,13677,27340342,132,2
47,srbachchan,Amitabh Bachchan,61849,33563273,1809,62
48,aliciakeys,Alicia Keys,7440,30753349,692,277
49,nba,NBA,193105,27427425,1679,274
