,Compound,Date,Negative,Neutral,Positive,Source,Text
0,-0.6908,03/28/2018,0.63,0.37,0.0,@BBCworld,How a child rape became a religious flashpoint for India https://t.co/g4tnJ0dPBY
1,-0.3818,03/28/2018,0.809,0.191,0.0,@BBCworld,The battle of the gas-sucking mega giants is set to begin https://t.co/NVSw6XcaSK
2,0.0,03/28/2018,1.0,0.0,0.0,@BBCworld,Russia to showcase robot tank in WW2 victory parade https://t.co/Y1e4i2Ym5P
3,0.4939,03/28/2018,0.714,0.0,0.286,@BBCworld,Cannes Film Festival 2018: 10 films to watch https://t.co/DcXJLKJQRB
4,0.0,03/28/2018,1.0,0.0,0.0,@BBCworld,Oliver North: NRA elects Reagan-era figure as president https://t.co/OOAlrwYQ7Q
5,-0.296,03/28/2018,0.547,0.273,0.18,@BBCworld,Italy faces fresh elections as coalition talks fail https://t.co/4ovcJuXahJ
6,0.0,03/28/2018,1.0,0.0,0.0,@BBCworld,Alabama 'miracle' boy awakes before doctors pull plug https://t.co/ncBjHQODVa
7,-0.7096,03/28/2018,0.465,0.535,0.0,@BBCworld,Syria war: Rebels leave last major besieged enclave https://t.co/AsVeSrEISW
8,0.6369,03/28/2018,0.588,0.0,0.412,@BBCworld,Melania Trump unveils 'Be Best' campaign https://t.co/Wytb5Ryq5n
9,0.4215,03/28/2018,0.763,0.0,0.237,@BBCworld,Brazil First Lady Marcela Temer rescued dog from lake https://t.co/mp9mmbEJWh
10,-0.5994,03/28/2018,0.738,0.262,0.0,@BBCworld,Rwanda landslides after heavy rain bring 2018 death toll to 200 https://t.co/fEW8S1Nk1q
11,-0.5574,03/28/2018,0.685,0.315,0.0,@BBCworld,Afghanistan air strike: UN confirms 30 child deaths in April attack https://t.co/yZu2jyRssp
12,-0.6908,03/28/2018,0.657,0.343,0.0,@BBCworld,Kim Wall murder: Peter Madsen appeals against life term https://t.co/6KblADZdqd
13,-0.1027,03/28/2018,0.811,0.189,0.0,@BBCworld,Zambia library warns 'half-naked' female students https://t.co/blmDigVWyq
14,0.1027,03/28/2018,0.643,0.164,0.193,@BBCworld,Lebanon election: PM Hariri says party lost third of seats https://t.co/Vrov1oSONf
15,0.0,03/28/2018,1.0,0.0,0.0,@BBCworld,Jay-Z's mum: ¡®I was not free¡¯ until I told son I was gay https://t.co/RfPwBWLeFF
16,0.0,03/28/2018,1.0,0.0,0.0,@BBCworld,"Putin inaugurated for fourth term

https://t.co/LfAXytac5X https://t.co/nc958MP5um"
17,0.4939,03/28/2018,0.714,0.0,0.286,@BBCworld,Australia pledges cash to save declining koala population https://t.co/ay9oLEtxrC
18,0.0,03/28/2018,1.0,0.0,0.0,@BBCworld,Is Australia running out of fuel? PM orders supply review https://t.co/AXfWb7Ydje
19,0.0,03/28/2018,1.0,0.0,0.0,@BBCworld,"Gina Haspel, CIA nominee, 'sought to pull out' https://t.co/OdU4LSrQ5L"
20,0.5719,03/28/2018,0.654,0.0,0.346,@BBCworld,Paedophile-hunting policeman wins payout 46 years on https://t.co/NXfZu0gISn
21,-0.6956,03/28/2018,0.458,0.407,0.135,@BBCworld,German mayor wins Freiburg vote but loses tooth in attack https://t.co/lDIYiyyOU7
22,-0.6908,03/28/2018,0.657,0.343,0.0,@BBCworld,"India rape: Second Jharkhand teenager set alight, police say https://t.co/aZ3bpcbq9q"
23,0.0,03/28/2018,1.0,0.0,0.0,@BBCworld,Kilauea volcano burns through Hawaii homes https://t.co/bhknGW3rMN
24,-0.34,03/28/2018,0.469,0.359,0.172,@BBCworld,Air France shares drop sharply as strikes continue https://t.co/8XiHJXZks5
25,0.0,03/28/2018,1.0,0.0,0.0,@BBCworld,Nestle pays Starbucks $7.1bn to sell its coffee https://t.co/lqpXbsIhkl
26,-0.5574,03/28/2018,0.66,0.34,0.0,@BBCworld,Kilauea: Hawaii volcano destroys dozens of homes https://t.co/hRZXyOHFiP
27,0.0,03/28/2018,1.0,0.0,0.0,@BBCworld,Could Trump's 'Space Force' become a reality? https://t.co/pz9hthUSHM
28,0.34,03/28/2018,0.588,0.165,0.247,@BBCworld,Phnom Penh Post's sale to PR director increases media freedom fears https://t.co/Ih4G6Dky9s
29,0.0,03/28/2018,1.0,0.0,0.0,@BBCworld,Iran nuclear deal: Johnson tells Trump 'don't walk away' https://t.co/eoBD40zkvO
30,0.0,03/28/2018,1.0,0.0,0.0,@BBCworld,Putin set to be inaugurated for fourth term as president of Russia https://t.co/qSAaI8u19T
31,-0.4215,03/28/2018,0.811,0.189,0.0,@BBCworld,"I sold all I had to go to Europe - now I'm home, and broke https://t.co/sAZFxsxHiN"
32,0.0,03/28/2018,1.0,0.0,0.0,@BBCworld,Marylove Edwards: The 13-year-old 'Nigerian Serena' https://t.co/jYKquBoD0Z
33,0.0,03/28/2018,1.0,0.0,0.0,@BBCworld,Why Costa Ricans are being paid to marry Chinese migrants https://t.co/qOMX5N84RN
34,0.5719,03/28/2018,0.778,0.0,0.222,@BBCworld,Lebanon elections: The disabled protester who won the 'same rights' as other voters https://t.co/4IpANRzdH4
35,0.0,03/28/2018,1.0,0.0,0.0,@BBCworld,"Tutankhamun 'secret chamber' does not exist, researchers find https://t.co/86rRA3JKQn"
36,-0.4201,03/28/2018,0.741,0.259,0.0,@BBCworld,Air France could 'disappear' as more strikes begin https://t.co/eQ9eLZbgm8
37,-0.3612,03/28/2018,0.706,0.294,0.0,@BBCworld,Japan bus drivers: Strikes with a difference https://t.co/w24TAM0h4B
38,0.0,03/28/2018,1.0,0.0,0.0,@BBCworld,Indian engineers kidnapped in Afghanistan's Baghlan province https://t.co/ePF0Y5QKoE
39,0.0,03/28/2018,1.0,0.0,0.0,@BBCworld,Gunman injures Pakistan interior minister Ahsan Iqbal in Punjab https://t.co/9dwEHfx8pk
40,0.0,03/28/2018,1.0,0.0,0.0,@BBCworld,"RT @BBCJamesCook: BREAKING Lava fountains 230ft (70m) high burst from a new fissure of Hawaii¡¯s Kilauea Volcano overnight, with further eru¡¦"
41,0.5423,03/28/2018,0.667,0.0,0.333,@BBCworld,Facebook privacy: Survey suggests continuing US loyalty https://t.co/yv2U8YtAxd
42,-0.8225,03/28/2018,0.479,0.521,0.0,@BBCworld,Nigeria village attack: Scores killed in Kaduna state https://t.co/FHlkP7WnZE
