best_of,draw_size,loser_age,loser_id,loser_name,loser_rank,loser_rank_points,match_num,round,score,surface,tourney_level,tourney_name,winner_age,winner_id,winner_name,winner_rank,winner_rank_points
3,128,17.85900068,200002,Mirjana Lucic,49,640,1,R128,6-1 6-2,Hard,G,Australian Open,19.29637235,200001,Martina Hingis,1,6003
3,128,27.11841205,200004,Kerry Anne Guse,133,199,2,R128,6-4 6-2,Hard,G,Australian Open,17.62902122,200003,Justine Henin,63,510
3,128,31.37850787,200005,Jolene Watanabe Giltz,118,243,3,R128,6-0 6-1,Hard,G,Australian Open,26.45859001,200006,Karina Habsudova,53,574
3,128,22.00684463,200007,Silvija Talaja,23,1112,4,R128,6-1 5-7 7-5,Hard,G,Australian Open,18.9705681,200008,Alicia Molik,116,245
3,128,24.82135524,200010,Rita Grande,60,516,5,R128,6-3 6-4,Hard,G,Australian Open,22.65023956,200009,Tamarine Tanasugarn,72,439
3,128,18.85010267,200011,Katarina Srebotnik,66,484,6,R128,6-4 1-6 6-4,Hard,G,Australian Open,25.60711841,200012,Jana Nejedly,84,347
3,128,26.74606434,200014,Tzipi Obziler,214,97,7,R128,6-4 4-6 6-4,Hard,G,Australian Open,26.28884326,200013,Angelica Gavaldon,320,52
3,128,21.99863107,200015,Petra Mandula,109,271,8,R128,6-3 4-6 6-3,Hard,G,Australian Open,27.78918549,200016,Sandrine Testud,14,1635
3,128,23.65776865,200018,Julia Abe,113,255,9,R128,6-2 6-2,Hard,G,Australian Open,28.08213552,200017,Arantxa Sanchez Vicario,15,1558
3,128,26.15195072,200019,Alexandra Fusai,177,132,10,R128,5-7 6-4 6-4,Hard,G,Australian Open,26.4366872,200020,Lisa Raymond,28,926
3,128,29.70841889,200021,Alexia Dechaume Balleret,101,296,11,R128,6-2 6-0,Hard,G,Australian Open,23.52361396,200022,Emmanuelle Gagliardi,71,454
3,128,25.65092402,200024,Maria Vento Kabchi,88,332,12,R128,7-5 6-3,Hard,G,Australian Open,20.10677618,200023,Bryanne Stewart,275,68
3,128,20.25735797,200025,Ludmila Cervanova,104,288,13,R128,6-2 6-3,Hard,G,Australian Open,28.59958932,200026,Florencia Labat,121,235
