City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,airai,8,TL,1530926299,83,-8.93,125.41,69.91,1.92
1,khilok,92,RU,1530926560,85,51.36,110.46,52.09,7.07
2,casino,0,AU,1530926560,93,-28.86,153.05,65.32,4.83
3,georgetown,0,GY,1530921600,94,6.8,-58.16,77.0,4.7
4,rikitea,64,PF,1530926270,100,-23.12,-134.97,74.68,7.4
5,cidreira,92,BR,1530926288,97,-30.17,-50.22,60.37,16.35
6,jamestown,76,AU,1530926266,79,-33.21,138.6,47.68,18.25
7,bartica,0,GY,1530925200,94,6.41,-58.62,77.0,2.24
8,mahebourg,40,MU,1530921600,64,-20.41,57.7,73.4,14.99
9,qaanaaq,88,GL,1530926106,97,77.48,-69.36,32.29,2.71
10,port elizabeth,75,US,1530924960,88,39.31,-74.98,78.8,3.36
11,mbini,40,GQ,1530925200,100,1.58,9.62,77.0,6.93
12,ancud,68,CL,1530926328,88,-41.87,-73.83,43.45,3.83
13,hilo,90,US,1530925440,78,19.71,-155.08,80.6,10.29
14,aquiraz,75,BR,1530925200,94,-3.9,-38.39,75.2,11.41
15,punta arenas,75,CL,1530921600,100,-53.16,-70.91,32.0,5.82
16,albany,20,US,1530924840,43,42.65,-73.75,71.6,14.99
17,busselton,0,AU,1530926285,100,-33.64,115.35,54.25,9.08
18,hasaki,75,JP,1530923400,74,35.73,140.83,84.2,12.75
19,ushuaia,20,AR,1530921600,100,-54.81,-68.31,33.8,13.87
20,itarema,36,BR,1530926262,82,-2.92,-39.92,78.55,15.12
21,leningradskiy,44,RU,1530926364,51,69.38,178.42,54.25,8.75
22,oriximina,68,BR,1530926564,74,-1.77,-55.87,79.72,3.83
23,kaitangata,8,NZ,1530926287,86,-46.28,169.85,52.27,20.49
24,takaka,92,NZ,1530926565,99,-40.86,172.81,53.35,17.25
25,cap malheureux,40,MU,1530925200,68,-19.98,57.61,71.6,16.11
26,constitucion,75,MX,1530924120,38,23.99,-104.67,73.4,3.36
27,kapaa,20,US,1530921360,66,22.08,-159.32,86.0,18.34
28,mataura,32,NZ,1530926289,86,-46.19,168.86,51.91,16.58
29,adrar,0,DZ,1530925200,10,27.87,-0.29,93.2,9.17
30,coquimbo,90,CL,1530921600,100,-29.95,-71.34,53.6,5.17
31,alugan,0,PH,1530926567,100,12.22,125.48,81.43,4.61
32,port alfred,0,ZA,1530926292,96,-33.59,26.89,60.64,13.0
33,olga,1,US,1530925080,7,34.11,-118.17,114.8,13.87
34,ribeira grande,80,PT,1530926291,100,38.52,-28.7,70.99,13.0
35,tikrit,0,IQ,1530926568,22,34.62,43.68,82.24,6.96
36,bethel,1,US,1530924780,49,60.79,-161.76,71.6,3.49
37,saquisili,75,EC,1530925200,81,-0.83,-78.67,51.8,10.29
38,nikolskoye,75,RU,1530923400,93,59.7,30.79,60.8,6.71
39,bathsheba,40,BB,1530921600,83,13.22,-59.52,78.8,13.87
40,yulara,0,AU,1530925200,46,-25.24,130.99,53.6,16.11
41,hermanus,0,ZA,1530926262,79,-34.42,19.24,37.96,2.93
42,kodiak,1,US,1530921180,43,39.95,-94.76,87.8,5.82
43,alofi,90,NU,1530925200,100,-19.06,-169.92,68.0,13.87
44,kahului,40,US,1530924960,66,20.89,-156.47,84.2,21.92
45,atuona,80,PF,1530926267,100,-9.8,-139.03,79.27,18.03
46,avarua,90,CK,1530925200,94,-21.21,-159.78,69.8,6.93
47,isangel,32,VU,1530926571,100,-19.55,169.27,74.23,17.25
48,cape town,0,ZA,1530921600,81,-33.93,18.42,44.6,2.24
49,itoman,75,JP,1530924960,74,26.12,127.67,86.0,13.87
50,sabang,68,PH,1530926571,95,13.72,123.58,81.97,4.83
51,road town,1,VG,1530924780,69,18.42,-64.62,82.4,17.22
52,dikson,76,RU,1530926307,100,73.51,80.55,37.69,15.79
53,kiruna,92,SE,1530924600,93,67.86,20.23,48.2,9.17
54,saint-maximin-la-sainte-baume,0,FR,1530925200,64,43.45,5.86,75.2,2.24
55,upernavik,8,GL,1530926288,100,72.79,-56.15,35.08,5.84
56,la argentina,44,CO,1530926574,83,2.2,-75.98,52.36,1.92
57,hualmay,32,PE,1530926574,100,-11.1,-77.61,57.4,2.93
58,hobart,75,AU,1530925200,81,-42.88,147.33,46.4,6.93
59,bredasdorp,0,ZA,1530921600,93,-34.53,20.04,41.0,3.36
60,yurga,0,RU,1530926575,83,55.71,84.93,50.65,5.17
61,lima,20,PE,1530926186,76,-12.06,-77.04,58.57,1.14
62,kavieng,20,PG,1530926298,100,-2.57,150.8,81.52,4.94
63,bambanglipuro,0,ID,1530926575,91,-7.95,110.28,66.85,3.38
64,sindor,76,RU,1530926576,98,62.87,51.9,60.46,3.38
65,bluff,76,AU,1530926263,93,-23.58,149.07,68.65,4.61
66,puerto ayora,40,EC,1530921600,73,-0.74,-90.35,75.2,13.87
67,broome,0,GB,1530924960,93,52.47,1.45,64.4,3.36
68,george,20,NG,1530925200,94,6.63,3.35,77.0,2.24
69,conceicao do araguaia,20,BR,1530926577,43,-8.26,-49.26,78.82,5.17
70,klaksvik,92,FO,1530924600,100,62.23,-6.59,50.0,4.7
71,berezovyy,12,RU,1530926578,63,51.67,135.7,68.11,3.04
72,victoria point,75,AU,1530925200,78,-27.58,153.3,73.4,10.29
73,seymchan,0,RU,1530926323,22,62.93,152.39,76.57,3.6
74,tautira,20,PF,1530925200,70,-17.73,-149.15,84.2,12.75
75,lazi,0,HR,1530925200,56,45.57,14.64,73.4,8.05
76,angoche,0,MZ,1530926579,100,-16.23,39.91,77.11,12.44
77,srednekolymsk,8,RU,1530926351,16,67.46,153.71,87.19,3.15
78,vaini,92,IN,1530926293,99,15.34,74.49,67.93,4.72
79,thompson,20,CA,1530925200,39,55.74,-97.86,82.4,9.17
80,agadir,0,MA,1530925200,82,30.42,-9.58,66.2,2.24
81,arraial do cabo,0,BR,1530926292,99,-22.97,-42.02,69.01,4.94
82,houma,48,CN,1530926572,88,35.63,111.36,73.42,3.27
83,mar del plata,8,AR,1530926214,100,-46.43,-67.52,24.28,3.6
84,chokurdakh,92,RU,1530926391,96,70.62,147.9,46.42,14.67
85,codrington,0,AU,1530926390,93,-28.95,153.24,65.32,4.83
86,buchanan,92,LR,1530926442,100,5.88,-10.05,76.39,6.62
87,saint george,20,GR,1530924600,83,39.45,22.34,71.6,3.04
88,victoria,90,BN,1530921600,94,5.28,115.24,77.0,1.12
89,wilmington,1,US,1530924900,61,39.75,-75.55,78.8,8.05
90,chuy,92,UY,1530926316,83,-33.69,-53.46,55.78,17.02
91,east london,0,ZA,1530926316,100,-33.02,27.91,65.95,16.24
92,nouadhibou,12,MR,1530925200,69,20.93,-17.03,73.4,10.29
93,gweta,0,BW,1530926584,74,-20.21,25.26,51.55,14.9
