Appraisal,Mass,Major.Min.Comp,Minor.Min.Comp1,Minor.Min.Comp2
15939.22,173.6922,DIAMOND,GEODES,BARATOVITE
646.85,15.4685,CHRYSOBERYL,HUMITE,HOPEITE
8331.94,78.7194,MELANOPHLOGITE,DEMANTOID,BROOKITE
16537.11,162.9711,SCORODITE,PARISITE,PHOSPHATES
25755.64,273.5564,PARISITE,ANTIMONY,ALTAITE
10318.56,113.4856,SMITHSONITE,BORNITE,HEULANDITE
8196.33,88.6633,MARCASITE,CHLORITE,ALTAITE
9111.04,100.3104,BOURNONITE,CUBANITE,GMELINITE
1203.37,45.1337,OBSIDIAN,SULFUR,NICKELINE
24167.6,238.876,ACANTHITE,NEPTUNITE,SUNSTONE
42529.92,443.7992,CHRYSOBERYL,PARAVAUXITE,DATOLITE
4192.04,54.5204,SUNSTONE,PERIDOT,CLINOPTILOLITE
5941.93,75.7193,TELLURIUM,PHLOGOPITE,BROOKITE
13879.01,143.3901,CHRYSOBERYL,BIF,ARSENIC
27482.8,304.328,SCORODITE,ENSTATITE,CHRYSOBERYL
11076.95,128.0695,BARATOVITE,ANDALUSITE,CUMMINGTONITE
8780.29,90.3029,ANDESINE,SCHORL,ILVAITE
23227.75,236.1775,ERIONITE,MARCASITE,BORNITE
1749.92,7.0992,TAAFFEITE,SCORODITE,BOLEITE
25005.22,265.8522,SENARMONTITE,SCORODITE,ANTIMONY
12765.12,155.4512,SYLVITE,GMELINITE,PHLOGOPITE
9908.03,100.7803,CUBANITE,MALACHITE,GMELINITE
11645.13,127.6513,CLEAVELANDITE,SINHALITE,ARTINITE
2019.91,37.1991,PHLOGOPITE,CLEAVELANDITE,DATOLITE
9152.27,91.3227,KOTTIGITE,SYLVITE,CACOXENITE
24734.9,255.049,ANDESINE,CHRYSOBERYL,PARASYMPLESITE
6699.55,78.0955,HOWLITE,BORNITE,KOTTIGITE
21510.96,225.0096,RHODIZITE,ALTAITE,TAAFFEITE
4937.17,35.9717,KOVDORSKITE,BARATOVITE,ROSASITE
523.53,8.7353,GAYLUSSITE,SAINFELDITE,GMELINITE
15068.09,173.8809,MALACHITE,CHRYSOBERYL,CUMMINGTONITE
17732.67,179.2267,SINHALITE,SCHORL,TREMOLITE
11794.45,141.3445,DIAMOND,PYROMORPHITE,PARASYMPLESITE
11257.43,104.3743,CARNOTITE,BROOKITE,HUMITE
16710.08,170.4008,CLINOHEDRITE,SINHALITE,CORDYLITE
28164.83,298.3483,PHOSPHATES,CUMMINGTONITE,HUREAULITE
6977.69,79.6769,ANTIMONY,CLINOHEDRITE,NEPTUNITE
10254.5,112.945,CHLORITE,ILVAITE,STURMANITE
10062.21,123.7221,ENSTATITE,KUNZITE,PARISITE
23497.78,241.1778,HEMATITE,ACANTHITE,CORDYLITE
16454.14,186.4414,ERIONITE,GORMANITE,ALTAITE
1638.04,23.7804,CLEAVELANDITE,PYROAURITE,PYROMORPHITE
24902.52,266.6252,CLINOPTILOLITE,ENSTATITE,CHRYSOBERYL
10943.91,127.2391,PLATINUM,PHLOGOPITE,GAYLUSSITE
16248.04,173.7804,OBSIDIAN,SELENITE,PERIDOT
5636.53,73.9653,ANDERSONITE,ROSE_QUARTZ,BOURNONITE
21652.23,245.0223,SELENITE,BASALT,BORNITE
