Major.Min.Comp,Minor.Min.Comp1,Minor.Min.Comp2,Appraisal,Mass
DIAMOND,GEODES,BARATOVITE,15939.22,173.6922
CHRYSOBERYL,HUMITE,HOPEITE,646.85,15.4685
MELANOPHLOGITE,DEMANTOID,BROOKITE,8331.94,78.71940000000001
SCORODITE,PARISITE,PHOSPHATES,16537.11,162.9711
PARISITE,ANTIMONY,ALTAITE,25755.64,273.5564
SMITHSONITE,BORNITE,HEULANDITE,10318.56,113.48559999999999
MARCASITE,CHLORITE,ALTAITE,8196.33,88.6633
BOURNONITE,CUBANITE,GMELINITE,9111.04,100.31040000000002
OBSIDIAN,SULFUR,NICKELINE,1203.37,45.133700000000005
ACANTHITE,NEPTUNITE,SUNSTONE,24167.6,238.87599999999998
CHRYSOBERYL,PARAVAUXITE,DATOLITE,42529.92,443.7992
SUNSTONE,PERIDOT,CLINOPTILOLITE,4192.04,54.5204
TELLURIUM,PHLOGOPITE,BROOKITE,5941.93,75.7193
CHRYSOBERYL,BIF,ARSENIC,13879.01,143.3901
SCORODITE,ENSTATITE,CHRYSOBERYL,27482.8,304.328
BARATOVITE,ANDALUSITE,CUMMINGTONITE,11076.95,128.0695
ANDESINE,SCHORL,ILVAITE,8780.29,90.30290000000001
ERIONITE,MARCASITE,BORNITE,23227.75,236.1775
TAAFFEITE,SCORODITE,BOLEITE,1749.92,7.0992000000000015
SENARMONTITE,SCORODITE,ANTIMONY,25005.22,265.8522
SYLVITE,GMELINITE,PHLOGOPITE,12765.12,155.4512
CUBANITE,MALACHITE,GMELINITE,9908.03,100.78030000000001
CLEAVELANDITE,SINHALITE,ARTINITE,11645.13,127.65129999999999
PHLOGOPITE,CLEAVELANDITE,DATOLITE,2019.91,37.1991
KOTTIGITE,SYLVITE,CACOXENITE,9152.27,91.3227
ANDESINE,CHRYSOBERYL,PARASYMPLESITE,24734.9,255.049
HOWLITE,BORNITE,KOTTIGITE,6699.55,78.0955
RHODIZITE,ALTAITE,TAAFFEITE,21510.96,225.0096
KOVDORSKITE,BARATOVITE,ROSASITE,4937.17,35.971700000000006
GAYLUSSITE,SAINFELDITE,GMELINITE,523.53,8.735299999999999
MALACHITE,CHRYSOBERYL,CUMMINGTONITE,15068.09,173.8809
SINHALITE,SCHORL,TREMOLITE,17732.67,179.2267
DIAMOND,PYROMORPHITE,PARASYMPLESITE,11794.45,141.3445
CARNOTITE,BROOKITE,HUMITE,11257.43,104.3743
CLINOHEDRITE,SINHALITE,CORDYLITE,16710.08,170.40080000000003
PHOSPHATES,CUMMINGTONITE,HUREAULITE,28164.83,298.3483
ANTIMONY,CLINOHEDRITE,NEPTUNITE,6977.69,79.6769
CHLORITE,ILVAITE,STURMANITE,10254.5,112.94500000000001
ENSTATITE,KUNZITE,PARISITE,10062.21,123.72209999999998
HEMATITE,ACANTHITE,CORDYLITE,23497.78,241.1778
ERIONITE,GORMANITE,ALTAITE,16454.14,186.4414
CLEAVELANDITE,PYROAURITE,PYROMORPHITE,1638.04,23.7804
CLINOPTILOLITE,ENSTATITE,CHRYSOBERYL,24902.52,266.6252
PLATINUM,PHLOGOPITE,GAYLUSSITE,10943.91,127.2391
OBSIDIAN,SELENITE,PERIDOT,16248.04,173.78040000000001
ANDERSONITE,ROSE_QUARTZ,BOURNONITE,5636.53,73.9653
SELENITE,BASALT,BORNITE,21652.23,245.0223
BLODITE,SELENITE,ENSTATITE,4512.75,63.027499999999996
ALBITE,CUBANITE,GMELINITE,32184.7,334.54699999999997
COAL,RUBY,PARASYMPLESITE,4872.47,53.724700000000006
NEPHELINE,GORMANITE,CUBANITE,5689.75,74.5975
HEULANDITE,BIF,PLATINUM,5246.79,65.2679
NICKELINE,ANDERSONITE,OBSIDIAN,9154.85,91.94850000000001
CACOXENITE,HUREAULITE,PHLOGOPITE,6845.99,89.65990000000001
