Countries,Mammals,Birds,Fishes,Higher plants,Total,Coordinates,Terrestrial protected areas(% of total land area )
Afghanistan,11,17,5,5,38,"33.7680065,66.2385139",0.5
Albania,3,9,44,0,56,"11.24488255,-72.5160988093715",2.3
Algeria,14,14,40,18,86,"28.0000272,2.9999825",7.9
American Samoa,1,8,12,1,22,"-14.30063095,-170.695974791655",12.6
Andorra,2,2,0,0,4,"42.5407167,1.5732033",19.5
Angola,18,29,51,34,132,"-11.8775768,17.5691241",7
Antigua and Barbuda,2,2,29,4,37,"17.079128,-61.8222516",5.5
Argentina,37,52,40,70,199,"-34.9964963,-64.9672817",6.8
Armenia,9,15,3,71,98,"4.4923898,-75.7396016646567",24.8
Aruba,2,1,23,2,28,"12.5013629,-69.9618475",0.5
Australia,61,52,120,98,331,"-24.7761086,134.755",14.6
Austria,3,11,11,17,42,"47.2000338,13.199959",28.4
Azerbaijan,8,18,12,42,80,"40.3936294,47.7872508",14
"Bahamas, The",6,8,44,8,66,"24.7736546,-78.0000547",13.3
Bahrain,2,6,13,0,21,"35.2078012,72.5473968",2.9
Bangladesh,36,36,27,21,120,"24.4768783,90.2932426",4.6
Barbados,3,3,29,3,38,"13.1500331,-59.5250305",0.2
Belarus,4,9,2,1,16,"53.4250605,27.6971358",8.6
Belgium,2,7,13,0,22,"50.6407351,4.66696",22.9
Belize,9,5,43,36,93,"16.8259793,-88.7600927",36.7
Benin,13,11,38,17,79,"6.3330586,5.6221058",28.1
Bermuda,4,2,26,8,40,"32.3018217,-64.7603583",5.8
Bhutan,25,20,3,18,66,"27.549511,90.5119273",47.3
Bolivia,20,54,8,104,186,"-17.0568696,-64.9912286",24.8
Bosnia and Herzegovina,4,8,35,2,49,"44.3053476,17.5961467",1.3
Botswana,11,14,2,2,29,"-23.1681782,24.5928742",29.2
Brazil,81,169,87,532,869,"-10.3333333,-53.2",28.4
Brunei Darussalam,33,25,13,104,175,"4.4137155,114.5653908",44.1
Bulgaria,8,18,22,6,54,"42.6073975,25.4856617",40.5
Burkina Faso,9,10,4,3,26,"12.0753083,-1.6880314",15.5
Burundi,14,14,17,89,134,"-3.3634357,29.8870575",6.9
Cabo Verde,4,5,34,3,46,"16.0000552,-24.0083947",2.6
Cambodia,38,28,47,35,148,"13.5066394,104.869423",26
Cameroon,46,27,119,490,682,"4.6125522,13.1535811",10.9
Canada,14,17,43,15,89,"61.0666922,-107.9917071",9.4
Cayman Islands,1,1,32,22,56,"19.5417212,-80.5667132",8.7
Central African Republic,16,14,3,24,57,"25.2183959,55.1752385762154",18.1
Chad,16,13,1,6,36,"15.6134137,19.0156172",17.8
Chile,19,34,25,72,150,"-31.7613365,-71.3187697",18.3
China,74,93,133,573,873,"25.4915799,-98.9811115045569",17
"Hong Kong SAR, China",3,21,13,9,46,"39.8871676,8.6026857",41.8
Colombia,54,126,97,259,536,"2.8894434,-73.783892",23.1
Comoros,5,14,9,7,35,"-12.2045176,44.2832964",10.2
"Congo, Dem. Rep.",34,39,92,145,310,"-0.681151,10.3854492",12.1
"Congo, Rep.",17,6,55,45,123,"-0.681151,10.3854492",35.2
Costa Rica,11,24,61,140,236,"10.2735633,-84.0739102",27.4
Cote d'Ivoire,31,22,57,113,223,"7.9897371,-5.5679458",22.9
Croatia,9,15,64,8,96,"45.5643442,17.0118954",37.7
Cuba,11,17,44,180,252,"23.0131338,-80.8328748",12.4
Curacao,3,2,28,2,35,"12.1845,-68.9640918594077",..
Cyprus,6,7,24,18,55,"34.9823018,33.1451285",18.4
Czech Republic,3,9,2,26,40,"49.8167003,15.4749544",21.1
Denmark,2,8,18,1,29,"55.670249,10.3333283",18.3
Djibouti,9,11,19,3,42,"11.85677545,42.7577845199437",1.3
Dominica,3,6,29,11,49,"15.4113138,-61.3653618",21.5
Dominican Republic,6,15,29,42,92,"19.0974031,-70.3028026",23
Ecuador,45,106,60,"1,857",2068,"-1.3397668,-79.3666965",25.8
"Egypt, Arab Rep.",17,14,53,3,87,"13.7464451,-90.0516008",11.2
El Salvador,6,6,15,29,56,"13.8000382,-88.9140683",8.4
Equatorial Guinea,24,7,42,87,160,"1.613172,10.5170357",25
Eritrea,14,17,25,5,61,"25.22091845,55.1728479503109",5
Estonia,1,9,5,0,15,"58.7523778,25.3319078",20.7
Ethiopia,32,32,14,45,123,"10.2116702,38.6521203",18.4
Faroe Islands,4,4,12,0,20,"62.19850045,-6.81741243341217",0
Fiji,6,14,19,71,110,"-18.1239696,179.0122737",4.4
Finland,2,10,6,2,20,"63.2467777,25.9209164",14.8
France,9,14,52,40,115,"46.603354,1.8883335",25.3
French Polynesia,0,34,29,47,110,"-18.6243749,-144.6434898",2
Gabon,20,6,71,162,259,"-0.8999695,11.6899699",20.5
"Gambia, The",10,12,34,5,61,"13.470062,-15.4900464",4.2
